atom_id,rule_type,legal_level,article_reference,who,how,when,what,content_original,is_ambiguous,review_reason,source_document,specific_clause,business_categories,related_scenarios,parameters,where,reconstructed_text,bert_similarity_score
YZ-PSM-OBL-00024,OBL_MANDATORY,L3_DEPT_RULE,第一部分第一段,支付机构,参照《人民币银行结算账户管理办法》第十七条、第二十四条、第二十六条，要求提供证明文件，并以面对面方式自主或委托合作机构核实，或以非面对面方式通过至少三个合法安全的外部渠道进行多重交叉验证,为单位开立支付账户时,单位客户身份及基本信自（应为‘基本信息’，属原文笔误）,支付机构为单位开立支付账户，应当参照《人民币银行结算账户管理办法》（中国人民银行令〔2003〕第5号发布）第十七条、第二十四条、第二十六条等相关规定，要求单位提供相关证明文件，并自主或者委托合作机构以面对面方式核实客户身份，或者以非面对面方式通过至少三个合法安全的外部渠道对单位基本信息进行多重交叉验证。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '客户身份识别']","['单位支付账户开立', '客户身份核实']",,新开立支付账户业务流程中,支付机构 为单位开立支付账户时 新开立支付账户业务流程中 参照《人民币银行结算账户管理办法》第十七条、第二十四条、第二十六条，要求提供证明文件，并以面对面方式自主或委托合作机构核实，或以非面对面方式通过至少三个合法安全的外部渠道进行多重交叉验证 单位客户身份及基本信自（应为‘基本信息’，属原文笔误）,0.9615753889083862
YZ-PSM-OBL-00025,OBL_ONGOING,L3_DEPT_RULE,第一部分第一段（存量账户）,支付机构,按照新开户标准完成身份核实,本通知发布之日前已开立支付账户的单位，须于2017年6月底前完成核实,已开立单位支付账户的身份信息,对于本通知发布之日前已经开立支付账户的单位，支付机构应当于2017年6月底前按照上述要求核实身份,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理', '客户身份识别']",['存量单位支付账户身份核实'],,存量单位支付账户生命周期管理,支付机构 本通知发布之日前已开立支付账户的单位，须于2017年6月底前完成核实 存量单位支付账户生命周期管理 按照新开户标准完成身份核实 已开立单位支付账户的身份信息,0.9194007515907288
YZ-PSM-PRO-00026,PRO_FORBIDDEN,L3_DEPT_RULE,第一部分第一段（存量账户约束）,支付机构,不得办理,完成核实前,新开立支付账户,完成核实前不得为其开立新的支付账户,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理']","['新开户限制', '账户功能管控']",,存量单位支付账户状态控制环节,支付机构 完成核实前 存量单位支付账户状态控制环节 不得办理 新开立支付账户,0.8447319269180298
YZ-PSM-VAL-00027,VAL_THRESHOLD,L3_DEPT_RULE,第一部分第一段（逾期处置）,支付机构,调整为只收不付,2017年6月底逾期未完成核实,支付账户资金收付权限,逾期未完成核实的，支付账户只收不付。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '账户管理']",['账户功能冻结'],,存量单位支付账户状态控制环节,支付机构 2017年6月底逾期未完成核实 存量单位支付账户状态控制环节 调整为只收不付 支付账户资金收付权限,0.7434606552124023
YZ-PSM-RPT-00028,RPT_DISCLOSURE,L3_DEPT_RULE,第一部分第一段（报告义务）,支付机构,报告,完成核实工作后,单位支付账户身份核实完成情况,支付机构完成核实工作后，将有关情况报告法人所在地人民银行分支机构。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '监管报送']",['身份核实结果报送'],,向法人所在地人民银行分支机构报送系统,支付机构 完成核实工作后 向法人所在地人民银行分支机构报送系统 报告 单位支付账户身份核实完成情况,0.9275316596031189
YZ-PSM-OBL-00029,OBL_ONGOING,L3_DEPT_RULE,第一部分第二段,支付机构,加强交易监测和持续性客户管理,持续性运营期间,使用个人支付账户开展经营性活动的资金交易,支付机构应当加强对使用个人支付账户开展经营性活动的资金交易监测和持续性客户管理。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '反洗钱', '交易监测']",['个人经营性支付账户监测'],,个人支付账户全生命周期管理,支付机构 持续性运营期间 个人支付账户全生命周期管理 加强交易监测和持续性客户管理 使用个人支付账户开展经营性活动的资金交易,0.9075417518615723
YZ-PSM-PRO-00030,PRO_FORBIDDEN,L3_DEPT_RULE,第一部分第六段（拒绝开户情形一）,银行和支付机构,有权拒绝,对单位和个人身份信息存在疑义，要求出示辅助证件时,开户行为,对单位和个人身份信息存在疑义，要求出示辅助证件，单位和个人拒绝出示的。,True,AMBIGUOUS_TEXT,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '客户身份识别']",['异常开户审核'],,客户开户尽职调查环节,银行和支付机构 对单位和个人身份信息存在疑义，要求出示辅助证件时 客户开户尽职调查环节 有权拒绝 开户行为,0.8090998530387878
YZ-PSM-PRO-00031,PRO_FORBIDDEN,L3_DEPT_RULE,第一部分第六段（拒绝开户情形二）,银行和支付机构,有权拒绝,发现单位和个人组织他人同时或者分批开立账户时,开户行为,单位和个人组织他人同时或者分批开立账户的。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '反洗钱']","['异常开户审核', '团伙开户识别']",,开户集中性行为监测环节,银行和支付机构 发现单位和个人组织他人同时或者分批开立账户时 开户集中性行为监测环节 有权拒绝 开户行为,0.7170868515968323
YZ-PSM-PRO-00032,PRO_FORBIDDEN,L3_DEPT_RULE,第一部分第六段（拒绝开户情形三）,银行和支付机构,有权拒绝,有明显理由怀疑开立账户从事违法犯罪活动时,开户行为,有明显理由怀疑开立账户从事违法犯罪活动的。,True,AMBIGUOUS_TEXT,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '反洗钱', '风险防控']","['异常开户审核', '涉诈账户拦截']",,开户风险评估环节,银行和支付机构 有明显理由怀疑开立账户从事违法犯罪活动时 开户风险评估环节 有权拒绝 开户行为,0.7647042274475098
YZ-PSM-VAL-00033,VAL_THRESHOLD,L3_DEPT_RULE,第一部分第七段,银行和支付机构,银行暂停非柜面业务；支付机构暂停所有业务,开户之日起6个月内无交易记录,账户业务权限,银行和支付机构应当加强账户交易活动监测，对开户之日起 6个月内无交易记录的账户，银行应当暂停其非柜面业务，支付机构应当暂停其所有业务,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '交易监测']",['长期不动户管控'],,账户活跃度监控系统,银行和支付机构 开户之日起6个月内无交易记录 账户活跃度监控系统 银行暂停非柜面业务；支付机构暂停所有业务 账户业务权限,0.9299057126045227
YZ-PSM-EVT-00034,EVT_TRIGGER,L3_DEPT_RULE,第一部分第七段（恢复机制）,银行和支付机构,可以恢复,向单位和个人重新核实身份后,被暂停的账户业务,银行和支付机构向单位和个人重新核实身份后，可以恢复其业务。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '客户身份识别']",['不动户功能恢复'],,账户解控操作流程,银行和支付机构 向单位和个人重新核实身份后 账户解控操作流程 可以恢复 被暂停的账户业务,0.9112145900726318
YZ-PSM-OBL-00035,OBL_MANDATORY,L3_DEPT_RULE,第一部分第八段首句,银行和支付机构,建立一一对应关系,账户开立及存续期间,联系电话号码与个人身份证件号码,银行和支付机构应当建立联系电话号码与个人身份证件号码的一一对应关系,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '个人信息保护']",['联系电话与身份证件绑定'],,客户联系信息管理系统,银行和支付机构 账户开立及存续期间 客户联系信息管理系统 建立一一对应关系 联系电话号码与个人身份证件号码,0.9070611000061035
YZ-PSM-OBL-00036,OBL_MANDATORY,L3_DEPT_RULE,第一部分第八段（排查清理）,银行和支付机构,进行排查清理，并联系相关当事人确认,持续性运营期间,多人使用同一联系电话号码开立和使用账户的情况,对多人使用同一联系电话号码开立和使用账户的情况进行排查清理，联系相关当事人进行确认。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '个人信息治理']",['多账户共用电话排查'],,账户关联关系核查系统,银行和支付机构 持续性运营期间 账户关联关系核查系统 进行排查清理，并联系相关当事人确认 多人使用同一联系电话号码开立和使用账户的情况,0.926973283290863
YZ-PSM-PER-00037,PER_AUTH,L3_DEPT_RULE,第一部分第八段（合理情形一）,银行和支付机构,可保持不变，但须由相关当事人出具说明,成年人代理未成年人或老年人开户并预留本人联系电话,预留本人联系电话,对于成年人代理未成年人或者老年人开户预留本人联系电话等合理情形的，由相关当事人出具说明后可以保持不变,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '客户服务']",['代理开户电话保留'],,代理开户场景,银行和支付机构 成年人代理未成年人或老年人开户并预留本人联系电话 代理开户场景 可保持不变，但须由相关当事人出具说明 预留本人联系电话,0.9049066305160522
YZ-PSM-PRO-00038,PRO_FORBIDDEN,L3_DEPT_RULE,第一部分第八段（合理情形二）,银行和支付机构,应当变更为账户所有人本人的联系电话,单位批量开户，预留财务人员联系电话,财务人员联系电话作为账户预留联系方式,对于单位批量开户，预留财务人员联系电话等情形的，应当变更为账户所有人本人的联系电话,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '个人信息治理']",['单位批量开户电话变更'],,单位批量开户场景,银行和支付机构 单位批量开户，预留财务人员联系电话 单位批量开户场景 应当变更为账户所有人本人的联系电话 财务人员联系电话作为账户预留联系方式,0.9183074235916138
YZ-PSM-VAL-00039,VAL_THRESHOLD,L3_DEPT_RULE,第一部分第八段（不合理情形处置）,银行和支付机构,银行账户暂停非柜面业务；支付账户暂停所有业务,无法证明多人共用电话合理性时,账户业务权限,对于无法证明合理性的，应当对相关银行账户暂停非柜面业务，支付账户暂停所有业务。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['账户管理', '风险管控']",['联系电话不合规账户冻结'],,账户联系信息合规审查环节,银行和支付机构 无法证明多人共用电话合理性时 账户联系信息合规审查环节 银行账户暂停非柜面业务；支付账户暂停所有业务 账户业务权限,0.8659338355064392
YZ-PSM-PRC-00040,PRC_FLOW,L3_DEPT_RULE,第二部分第一段（转账方式）,银行和支付机构,必须向存款人提供选择，存款人选择后方可办理,自2016年12月1日起提供转账服务时,实时到账、普通到账、次日到账等多种转账方式,向存款人提供实时到账、普通到账、次日到账等多种转账方式选择，存款人在选择后才能办理业务。,False,NONE,中国人民银行关于加强支付结算管理防范电信网络新型违法犯罪有关事项的通知（银发〔2016〕261号）,,"['支付结算', '转账服务']",['转账方式选择'],,客户转账交易发起界面,银行和支付机构 自2016年12月1日起提供转账服务时 客户转账交易发起界面 必须向存款人提供选择，存款人选择后方可办理 实时到账、普通到账、次日到账等多种转账方式,0.8635103702545166
